         63773119 function calls (62897781 primitive calls) in 80.512 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2016    0.068    0.000    0.068    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
       42    0.065    0.002    0.065    0.002 {built-in method torch._C._nn.binary_cross_entropy}
     1008    0.063    0.000    0.063    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
    33869    0.061    0.000    0.061    0.000 {built-in method torch._C._get_tracing_state}
        4    0.060    0.015    0.060    0.015 {method 'astype' of 'numpy.ndarray' objects}
     2016    0.060    0.000    0.060    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
     1008    0.060    0.000    0.060    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
   210972    0.047    0.000    0.047    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\series.py:1323(_clear_item_cache)
        1    0.046    0.046   80.512   80.512 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\main.py:163(main)
   110505    0.041    0.000    0.041    0.000 {method 'append' of 'list' objects}
   211033    0.039    0.000    0.039    0.000 C:\Users\abhil\anaconda3\Lib\typing.py:2256(cast)
       53    0.038    0.001    0.038    0.001 {built-in method torch.sigmoid}
    36681    0.037    0.000    0.037    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\module.py:1601(__getattr__)
       58    0.035    0.001    0.037    0.001 {built-in method builtins.print}
       11    0.031    0.003    0.031    0.003 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\language.py:107(from_vector)
     5449    0.025    0.000    0.025    0.000 {built-in method numpy.array}
     2727    0.024    0.000    0.024    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
        1    0.024    0.024    0.024    0.024 {pandas._libs.algos.take_2d_axis0_object_object}
        2    0.024    0.012    0.118    0.059 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:1741(_interleave)
        2    0.023    0.011    0.141    0.071 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:1677(as_array)
       42    0.022    0.001    0.029    0.001 C:\Users\abhil\anaconda3\Lib\site-packages\torch\optim\optimizer.py:435(zero_grad)
    14055    0.020    0.000    0.186    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\activation.py:102(forward)
    14055    0.018    0.000    0.166    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\functional.py:1446(relu)
     2769    0.018    0.000    0.018    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
        1    0.017    0.017    9.554    9.554 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\main.py:70(train)
     5406    0.016    0.000    0.016    0.000 {built-in method numpy.zeros}
       24    0.016    0.001    0.016    0.001 {method 'uniform_' of 'torch._C._TensorBase' objects}
     2716    0.012    0.000    2.079    0.001 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\autoencoder.py:45(encode)
        2    0.012    0.006    0.027    0.014 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:2249(_stack_arrays)
        1    0.011    0.011    0.550    0.550 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\io\parsers\readers.py:540(_read)
      151    0.011    0.000    0.011    0.000 {built-in method _codecs.utf_8_decode}
       42    0.009    0.000    0.018    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\optim\adam.py:66(_init_group)
       84    0.006    0.000    0.006    0.000 {built-in method torch._ops.profiler._record_function_enter_new}
       48    0.006    0.000    0.006    0.000 {built-in method torch.zeros_like}
    14097    0.005    0.000    0.005    0.000 {built-in method torch._C._has_torch_function_unary}
       42    0.005    0.000    0.077    0.002 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\main.py:78(<listcomp>)
     1008    0.005    0.000    0.010    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\optim\optimizer.py:39(_get_value)
     2811    0.005    0.000    0.008    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\container.py:207(__iter__)
       49    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1050    0.004    0.000    0.004    0.000 {method 'item' of 'torch._C._TensorBase' objects}
     1008    0.003    0.000    0.005    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\optim\optimizer.py:52(_dispatch_sqrt)
       42    0.003    0.000    0.719    0.017 C:\Users\abhil\anaconda3\Lib\site-packages\torch\optim\optimizer.py:265(wrapper)
       84    0.003    0.000    0.003    0.000 {built-in method torch._ops.profiler.}
